date,type,sessao_id
2012-02-14,EXTRAORDINÁRIA,011
2012-02-28,EXTRAORDINÁRIA,020
2012-02-29,EXTRAORDINÁRIA,022
2012-03-06,EXTRAORDINÁRIA,030
2012-03-07,EXTRAORDINÁRIA,032
2012-03-14,ORDINÁRIA,039
2012-03-14,EXTRAORDINÁRIA,040
2012-03-20,EXTRAORDINÁRIA,049
2012-03-21,EXTRAORDINÁRIA,050
2012-03-27,EXTRAORDINÁRIA,057
2012-03-28,EXTRAORDINÁRIA,059
2012-03-28,EXTRAORDINÁRIA,060
2012-04-10,ORDINÁRIA,073
2012-04-10,EXTRAORDINÁRIA,074
2012-04-11,ORDINÁRIA,075
2012-04-11,EXTRAORDINÁRIA,076
2012-05-09,ORDINÁRIA,114
2012-05-15,EXTRAORDINÁRIA,124
2012-05-16,EXTRAORDINÁRIA,126
2012-05-22,EXTRAORDINÁRIA,134
2012-05-29,EXTRAORDINÁRIA,145
2012-05-30,EXTRAORDINÁRIA,147
2012-06-05,ORDINÁRIA,154
2012-06-12,ORDINÁRIA,160
2012-06-13,EXTRAORDINÁRIA,163
2011-11-22,EXTRAORDINÁRIA,331
2011-11-22,EXTRAORDINÁRIA,332
2011-05-11,EXTRAORDINÁRIA,107
2011-05-18,EXTRAORDINÁRIA,115
2011-05-18,EXTRAORDINÁRIA,116
2011-05-24,EXTRAORDINÁRIA,123
2011-05-25,EXTRAORDINÁRIA,126
2011-06-08,EXTRAORDINÁRIA,145
2011-06-15,ORDINÁRIA,153
2011-06-15,EXTRAORDINÁRIA,154
2011-06-28,ORDINÁRIA,167
2011-06-28,EXTRAORDINÁRIA,168
2011-07-05,ORDINÁRIA,175
2011-08-03,ORDINÁRIA,190
2011-08-03,EXTRAORDINÁRIA,191
2011-08-11,EXTRAORDINÁRIA,201
2011-08-16,ORDINÁRIA,206
2011-08-17,ORDINÁRIA,208
2011-08-17,EXTRAORDINÁRIA,209
2011-08-23,ORDINÁRIA,215
2011-08-23,EXTRAORDINÁRIA,216
2011-08-24,ORDINÁRIA,217
2011-08-24,EXTRAORDINÁRIA,218
2011-08-30,ORDINÁRIA,225
2011-08-31,EXTRAORDINÁRIA,228
2011-09-01,EXTRAORDINÁRIA,229
2011-09-20,EXTRAORDINÁRIA,252
2011-09-21,EXTRAORDINÁRIA,255
2011-10-05,ORDINÁRIA,273
2011-10-05,EXTRAORDINÁRIA,274
2011-10-11,EXTRAORDINÁRIA,281
2011-10-19,ORDINÁRIA,287
2011-10-26,EXTRAORDINÁRIA,299
2011-10-27,EXTRAORDINÁRIA,300
2011-11-01,EXTRAORDINÁRIA,304
2011-11-08,EXTRAORDINÁRIA,313
2011-11-08,EXTRAORDINÁRIA,314
2011-11-09,EXTRAORDINÁRIA,316
2011-11-09,EXTRAORDINÁRIA,317
2011-02-15,EXTRAORDINÁRIA,011
2011-02-16,EXTRAORDINÁRIA,013
2011-02-16,EXTRAORDINÁRIA,014
2011-02-22,ORDINÁRIA,019
2011-02-22,EXTRAORDINÁRIA,020
2011-02-23,ORDINÁRIA,021
2011-04-05,ORDINÁRIA,057
2011-04-05,EXTRAORDINÁRIA,058
2011-04-06,ORDINÁRIA,059
2011-04-06,EXTRAORDINÁRIA,060
2011-04-13,EXTRAORDINÁRIA,068
2011-04-26,ORDINÁRIA,084
2011-04-27,ORDINÁRIA,085
2011-05-03,EXTRAORDINÁRIA,093
2011-05-10,EXTRAORDINÁRIA,102
2012-12-12,EXTRAORDINÁRIA,345
2012-12-18,EXTRAORDINÁRIA,351
2012-09-04,EXTRAORDINÁRIA,236
2012-09-05,ORDINÁRIA,238
2012-09-18,ORDINÁRIA,251
2012-09-18,EXTRAORDINÁRIA,252
2012-10-30,ORDINÁRIA,283
2012-10-31,EXTRAORDINÁRIA,284
2012-10-31,EXTRAORDINÁRIA,285
2012-10-31,EXTRAORDINÁRIA,286
2012-11-06,EXTRAORDINÁRIA,290
2012-11-06,EXTRAORDINÁRIA,292
2012-11-06,EXTRAORDINÁRIA,293
2012-11-07,EXTRAORDINÁRIA,294
2012-11-07,EXTRAORDINÁRIA,295
2012-11-13,EXTRAORDINÁRIA,305
2012-11-20,ORDINÁRIA,313
2012-11-20,EXTRAORDINÁRIA,315
2012-11-21,EXTRAORDINÁRIA,316
2012-11-21,EXTRAORDINÁRIA,317
2012-11-28,EXTRAORDINÁRIA,328
2012-12-04,EXTRAORDINÁRIA,336
2013-02-20,EXTRAORDINÁRIA,009
2013-02-20,EXTRAORDINÁRIA,010
2013-02-26,ORDINÁRIA,015
2013-02-27,EXTRAORDINÁRIA,017
2013-02-28,EXTRAORDINÁRIA,019
